generated_case_id,seed_case_id,scenario_type,round_name,ego_speed_kph,merge_time_s,rear_distance_m,rear_speed_kph
CASE_MERGE_001_C001,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,15.0,90.0
CASE_MERGE_001_C002,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,15.0,115.0
CASE_MERGE_001_C003,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,15.0,140.0
CASE_MERGE_001_C004,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,35.0,90.0
CASE_MERGE_001_C005,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,35.0,115.0
CASE_MERGE_001_C006,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,35.0,140.0
CASE_MERGE_001_C007,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,55.0,90.0
CASE_MERGE_001_C008,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,55.0,115.0
CASE_MERGE_001_C009,CASE_MERGE_001,highway_merge,coarse,65.0,2.0,55.0,140.0
CASE_MERGE_001_C010,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,15.0,90.0
CASE_MERGE_001_C011,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,15.0,115.0
CASE_MERGE_001_C012,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,15.0,140.0
CASE_MERGE_001_C013,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,35.0,90.0
CASE_MERGE_001_C014,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,35.0,115.0
CASE_MERGE_001_C015,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,35.0,140.0
CASE_MERGE_001_C016,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,55.0,90.0
CASE_MERGE_001_C017,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,55.0,115.0
CASE_MERGE_001_C018,CASE_MERGE_001,highway_merge,coarse,65.0,3.0,55.0,140.0
CASE_MERGE_001_C019,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,15.0,90.0
CASE_MERGE_001_C020,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,15.0,115.0
CASE_MERGE_001_C021,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,15.0,140.0
CASE_MERGE_001_C022,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,35.0,90.0
CASE_MERGE_001_C023,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,35.0,115.0
CASE_MERGE_001_C024,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,35.0,140.0
CASE_MERGE_001_C025,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,55.0,90.0
CASE_MERGE_001_C026,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,55.0,115.0
CASE_MERGE_001_C027,CASE_MERGE_001,highway_merge,coarse,65.0,4.0,55.0,140.0
CASE_MERGE_001_C028,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,15.0,90.0
CASE_MERGE_001_C029,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,15.0,115.0
CASE_MERGE_001_C030,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,15.0,140.0
CASE_MERGE_001_C031,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,35.0,90.0
CASE_MERGE_001_C032,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,35.0,115.0
CASE_MERGE_001_C033,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,35.0,140.0
CASE_MERGE_001_C034,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,55.0,90.0
