generated_case_id,seed_case_id,scenario_type,round_name,result,collision,min_gap_m,min_ttc_s,metrics
CASE_MERGE_001_C001,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.278,0.06,{'trajectory_frames': 23.0}
CASE_MERGE_001_C002,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-4.444,,{'trajectory_frames': 15.0}
CASE_MERGE_001_C003,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-14.167,,{'trajectory_frames': 15.0}
CASE_MERGE_001_C004,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.417,0.04,{'trajectory_frames': 52.0}
CASE_MERGE_001_C005,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.111,0.02,{'trajectory_frames': 27.0}
CASE_MERGE_001_C006,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.417,0.08,{'trajectory_frames': 18.0}
CASE_MERGE_001_C007,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.02,{'trajectory_frames': 81.0}
CASE_MERGE_001_C008,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.06,{'trajectory_frames': 41.0}
CASE_MERGE_001_C009,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.25,0.04,{'trajectory_frames': 28.0}
CASE_MERGE_001_C010,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.278,0.06,{'trajectory_frames': 23.0}
CASE_MERGE_001_C011,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-14.167,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C012,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-28.75,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C013,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.417,0.04,{'trajectory_frames': 52.0}
CASE_MERGE_001_C014,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.111,0.02,{'trajectory_frames': 27.0}
CASE_MERGE_001_C015,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-8.75,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C016,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.02,{'trajectory_frames': 81.0}
CASE_MERGE_001_C017,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.06,{'trajectory_frames': 41.0}
CASE_MERGE_001_C018,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.25,0.04,{'trajectory_frames': 28.0}
CASE_MERGE_001_C019,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-4.444,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C020,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-23.889,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C021,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-43.333,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C022,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.417,0.04,{'trajectory_frames': 52.0}
CASE_MERGE_001_C023,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-3.889,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C024,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-23.333,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C025,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.02,{'trajectory_frames': 81.0}
CASE_MERGE_001_C026,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.06,{'trajectory_frames': 41.0}
CASE_MERGE_001_C027,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-3.333,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C028,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.0,0.1,{'trajectory_frames': 37.0}
CASE_MERGE_001_C029,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,,{'trajectory_frames': 15.0}
CASE_MERGE_001_C030,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-10.278,,{'trajectory_frames': 15.0}
CASE_MERGE_001_C031,CASE_MERGE_001,highway_merge,coarse,FAIL,False,1.667,0.4,{'trajectory_frames': 81.0}
CASE_MERGE_001_C032,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.05,{'trajectory_frames': 33.0}
CASE_MERGE_001_C033,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-1.111,0.038,{'trajectory_frames': 21.0}
CASE_MERGE_001_C034,CASE_MERGE_001,highway_merge,coarse,PASS,False,21.667,5.2,{'trajectory_frames': 81.0}
CASE_MERGE_001_C035,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.05,{'trajectory_frames': 51.0}
CASE_MERGE_001_C036,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.972,0.046,{'trajectory_frames': 32.0}
CASE_MERGE_001_C037,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.0,0.1,{'trajectory_frames': 37.0}
CASE_MERGE_001_C038,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-8.333,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C039,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-22.917,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C040,CASE_MERGE_001,highway_merge,coarse,FAIL,False,1.667,0.4,{'trajectory_frames': 81.0}
CASE_MERGE_001_C041,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.05,{'trajectory_frames': 33.0}
CASE_MERGE_001_C042,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-2.917,,{'trajectory_frames': 22.0}
CASE_MERGE_001_C043,CASE_MERGE_001,highway_merge,coarse,PASS,False,21.667,5.2,{'trajectory_frames': 81.0}
CASE_MERGE_001_C044,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.05,{'trajectory_frames': 51.0}
CASE_MERGE_001_C045,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.972,0.046,{'trajectory_frames': 32.0}
CASE_MERGE_001_C046,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.0,0.1,{'trajectory_frames': 37.0}
CASE_MERGE_001_C047,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-16.111,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C048,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-35.556,,{'trajectory_frames': 29.0}
CASE_MERGE_001_C049,CASE_MERGE_001,highway_merge,coarse,FAIL,False,1.667,0.4,{'trajectory_frames': 81.0}
CASE_MERGE_001_C050,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-0.556,0.05,{'trajectory_frames': 33.0}
CASE_MERGE_001_C051,CASE_MERGE_001,highway_merge,coarse,FAIL,True,-15.556,,{'trajectory_frames': 29.0}
