generated_case_id,seed_case_id,scenario_type,round_name,ego_speed_kph,rear_speed_kph,rear_distance_m,merge_time_s
CASE_MERGE_001_F001,CASE_MERGE_001,highway_merge,fine,85.0,90.0,17.5,3.0
CASE_MERGE_001_F002,CASE_MERGE_001,highway_merge,fine,85.0,90.0,20.0,3.0
CASE_MERGE_001_F003,CASE_MERGE_001,highway_merge,fine,85.0,90.0,22.5,3.0
CASE_MERGE_001_F004,CASE_MERGE_001,highway_merge,fine,85.0,90.0,25.0,3.0
CASE_MERGE_001_F005,CASE_MERGE_001,highway_merge,fine,85.0,90.0,27.5,3.0
CASE_MERGE_001_F006,CASE_MERGE_001,highway_merge,fine,85.0,90.0,30.0,3.0
CASE_MERGE_001_F007,CASE_MERGE_001,highway_merge,fine,85.0,90.0,32.5,3.0
CASE_MERGE_001_F008,CASE_MERGE_001,highway_merge,fine,76.25,90.0,35.0,3.0
CASE_MERGE_001_F009,CASE_MERGE_001,highway_merge,fine,77.5,90.0,35.0,3.0
CASE_MERGE_001_F010,CASE_MERGE_001,highway_merge,fine,78.75,90.0,35.0,3.0
CASE_MERGE_001_F011,CASE_MERGE_001,highway_merge,fine,80.0,90.0,35.0,3.0
CASE_MERGE_001_F012,CASE_MERGE_001,highway_merge,fine,81.25,90.0,35.0,3.0
CASE_MERGE_001_F013,CASE_MERGE_001,highway_merge,fine,82.5,90.0,35.0,3.0
CASE_MERGE_001_F014,CASE_MERGE_001,highway_merge,fine,83.75,90.0,35.0,3.0
CASE_MERGE_001_F015,CASE_MERGE_001,highway_merge,fine,75.0,93.125,55.0,3.0
CASE_MERGE_001_F016,CASE_MERGE_001,highway_merge,fine,75.0,96.25,55.0,3.0
CASE_MERGE_001_F017,CASE_MERGE_001,highway_merge,fine,75.0,99.375,55.0,3.0
CASE_MERGE_001_F018,CASE_MERGE_001,highway_merge,fine,75.0,102.5,55.0,3.0
CASE_MERGE_001_F019,CASE_MERGE_001,highway_merge,fine,75.0,105.625,55.0,3.0
CASE_MERGE_001_F020,CASE_MERGE_001,highway_merge,fine,75.0,108.75,55.0,3.0
CASE_MERGE_001_F021,CASE_MERGE_001,highway_merge,fine,75.0,111.875,55.0,3.0
