generated_case_id,seed_case_id,scenario_type,round_name,ego_speed_kph,initial_gap_m,lead_decel_mps2,lead_speed_kph
CASE_BRAKE_001_C001,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-6.5,55.0
CASE_BRAKE_001_C002,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-6.5,75.0
CASE_BRAKE_001_C003,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-6.5,95.0
CASE_BRAKE_001_C004,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-5.0,55.0
CASE_BRAKE_001_C005,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-5.0,75.0
CASE_BRAKE_001_C006,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-5.0,95.0
CASE_BRAKE_001_C007,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-3.5,55.0
CASE_BRAKE_001_C008,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-3.5,75.0
CASE_BRAKE_001_C009,CASE_BRAKE_001,lead_brake,coarse,85.0,10.0,-3.5,95.0
CASE_BRAKE_001_C010,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-6.5,55.0
CASE_BRAKE_001_C011,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-6.5,75.0
CASE_BRAKE_001_C012,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-6.5,95.0
CASE_BRAKE_001_C013,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-5.0,55.0
CASE_BRAKE_001_C014,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-5.0,75.0
CASE_BRAKE_001_C015,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-5.0,95.0
CASE_BRAKE_001_C016,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-3.5,55.0
CASE_BRAKE_001_C017,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-3.5,75.0
CASE_BRAKE_001_C018,CASE_BRAKE_001,lead_brake,coarse,85.0,32.0,-3.5,95.0
CASE_BRAKE_001_C019,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-6.5,55.0
CASE_BRAKE_001_C020,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-6.5,75.0
CASE_BRAKE_001_C021,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-6.5,95.0
CASE_BRAKE_001_C022,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-5.0,55.0
CASE_BRAKE_001_C023,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-5.0,75.0
CASE_BRAKE_001_C024,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-5.0,95.0
CASE_BRAKE_001_C025,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-3.5,55.0
CASE_BRAKE_001_C026,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-3.5,75.0
CASE_BRAKE_001_C027,CASE_BRAKE_001,lead_brake,coarse,85.0,50.0,-3.5,95.0
CASE_BRAKE_001_C028,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-6.5,55.0
CASE_BRAKE_001_C029,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-6.5,75.0
CASE_BRAKE_001_C030,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-6.5,95.0
CASE_BRAKE_001_C031,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-5.0,55.0
CASE_BRAKE_001_C032,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-5.0,75.0
CASE_BRAKE_001_C033,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-5.0,95.0
CASE_BRAKE_001_C034,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-3.5,55.0
CASE_BRAKE_001_C035,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-3.5,75.0
CASE_BRAKE_001_C036,CASE_BRAKE_001,lead_brake,coarse,100.0,10.0,-3.5,95.0
CASE_BRAKE_001_C037,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-6.5,55.0
CASE_BRAKE_001_C038,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-6.5,75.0
CASE_BRAKE_001_C039,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-6.5,95.0
CASE_BRAKE_001_C040,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-5.0,55.0
CASE_BRAKE_001_C041,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-5.0,75.0
CASE_BRAKE_001_C042,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-5.0,95.0
CASE_BRAKE_001_C043,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-3.5,55.0
CASE_BRAKE_001_C044,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-3.5,75.0
CASE_BRAKE_001_C045,CASE_BRAKE_001,lead_brake,coarse,100.0,32.0,-3.5,95.0
CASE_BRAKE_001_C046,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-6.5,55.0
CASE_BRAKE_001_C047,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-6.5,75.0
CASE_BRAKE_001_C048,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-6.5,95.0
CASE_BRAKE_001_C049,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-5.0,55.0
CASE_BRAKE_001_C050,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-5.0,75.0
CASE_BRAKE_001_C051,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-5.0,95.0
CASE_BRAKE_001_C052,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-3.5,55.0
CASE_BRAKE_001_C053,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-3.5,75.0
CASE_BRAKE_001_C054,CASE_BRAKE_001,lead_brake,coarse,100.0,50.0,-3.5,95.0
CASE_BRAKE_001_C055,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-6.5,55.0
CASE_BRAKE_001_C056,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-6.5,75.0
CASE_BRAKE_001_C057,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-6.5,95.0
CASE_BRAKE_001_C058,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-5.0,55.0
CASE_BRAKE_001_C059,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-5.0,75.0
CASE_BRAKE_001_C060,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-5.0,95.0
CASE_BRAKE_001_C061,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-3.5,55.0
CASE_BRAKE_001_C062,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-3.5,75.0
CASE_BRAKE_001_C063,CASE_BRAKE_001,lead_brake,coarse,115.0,10.0,-3.5,95.0
CASE_BRAKE_001_C064,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-6.5,55.0
CASE_BRAKE_001_C065,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-6.5,75.0
CASE_BRAKE_001_C066,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-6.5,95.0
CASE_BRAKE_001_C067,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-5.0,55.0
CASE_BRAKE_001_C068,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-5.0,75.0
CASE_BRAKE_001_C069,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-5.0,95.0
CASE_BRAKE_001_C070,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-3.5,55.0
CASE_BRAKE_001_C071,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-3.5,75.0
CASE_BRAKE_001_C072,CASE_BRAKE_001,lead_brake,coarse,115.0,32.0,-3.5,95.0
