generated_case_id,seed_case_id,scenario_type,round_name,ego_speed_kph,lead_speed_kph,initial_gap_m,lead_decel_mps2
CASE_BRAKE_001_F001,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,34.25,-5.0
CASE_BRAKE_001_F002,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,36.5,-5.0
CASE_BRAKE_001_F003,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,38.75,-5.0
CASE_BRAKE_001_F004,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,41.0,-5.0
CASE_BRAKE_001_F005,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,43.25,-5.0
CASE_BRAKE_001_F006,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,45.5,-5.0
CASE_BRAKE_001_F007,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,47.75,-5.0
CASE_BRAKE_001_F008,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-4.8125
CASE_BRAKE_001_F009,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-4.625
CASE_BRAKE_001_F010,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-4.4375
CASE_BRAKE_001_F011,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-4.25
CASE_BRAKE_001_F012,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-4.0625
CASE_BRAKE_001_F013,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-3.875
CASE_BRAKE_001_F014,CASE_BRAKE_001,lead_brake,fine,85.0,75.0,32.0,-3.6875
CASE_BRAKE_001_F015,CASE_BRAKE_001,lead_brake,fine,86.875,95.0,10.0,-3.5
CASE_BRAKE_001_F016,CASE_BRAKE_001,lead_brake,fine,88.75,95.0,10.0,-3.5
CASE_BRAKE_001_F017,CASE_BRAKE_001,lead_brake,fine,90.625,95.0,10.0,-3.5
CASE_BRAKE_001_F018,CASE_BRAKE_001,lead_brake,fine,92.5,95.0,10.0,-3.5
CASE_BRAKE_001_F019,CASE_BRAKE_001,lead_brake,fine,94.375,95.0,10.0,-3.5
CASE_BRAKE_001_F020,CASE_BRAKE_001,lead_brake,fine,96.25,95.0,10.0,-3.5
CASE_BRAKE_001_F021,CASE_BRAKE_001,lead_brake,fine,98.125,95.0,10.0,-3.5
