generated_case_id,seed_case_id,scenario_type,round_name,result,collision,min_gap_m,min_ttc_s,metrics
CASE_BRAKE_001_C001,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.337,0.074,{'trajectory_frames': 12.0}
CASE_BRAKE_001_C002,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.223,0.077,{'trajectory_frames': 19.0}
CASE_BRAKE_001_C003,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.451,0.01,{'trajectory_frames': 42.0}
CASE_BRAKE_001_C004,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.067,0.096,{'trajectory_frames': 12.0}
CASE_BRAKE_001_C005,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.431,0.041,{'trajectory_frames': 21.0}
CASE_BRAKE_001_C006,CASE_BRAKE_001,lead_brake,coarse,HIGH_RISK,False,9.198,5.25,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C007,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.858,0.019,{'trajectory_frames': 13.0}
CASE_BRAKE_001_C008,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.139,0.067,{'trajectory_frames': 24.0}
CASE_BRAKE_001_C009,CASE_BRAKE_001,lead_brake,coarse,PASS,False,10.0,17.192,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C010,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.369,0.076,{'trajectory_frames': 27.0}
CASE_BRAKE_001_C011,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.751,0.009,{'trajectory_frames': 42.0}
CASE_BRAKE_001_C012,CASE_BRAKE_001,lead_brake,coarse,PASS,False,16.886,3.734,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C013,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.687,0.043,{'trajectory_frames': 30.0}
CASE_BRAKE_001_C014,CASE_BRAKE_001,lead_brake,coarse,FAIL,False,3.947,1.261,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C015,CASE_BRAKE_001,lead_brake,coarse,PASS,False,31.198,15.15,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C016,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.221,0.068,{'trajectory_frames': 35.0}
CASE_BRAKE_001_C017,CASE_BRAKE_001,lead_brake,coarse,PASS,False,18.201,4.155,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C018,CASE_BRAKE_001,lead_brake,coarse,PASS,False,32.0,47.654,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C019,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.109,0.085,{'trajectory_frames': 41.0}
CASE_BRAKE_001_C020,CASE_BRAKE_001,lead_brake,coarse,HIGH_RISK,False,11.904,2.02,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C021,CASE_BRAKE_001,lead_brake,coarse,PASS,False,34.886,7.181,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C022,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.039,0.082,{'trajectory_frames': 50.0}
CASE_BRAKE_001_C023,CASE_BRAKE_001,lead_brake,coarse,PASS,False,21.947,5.116,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C024,CASE_BRAKE_001,lead_brake,coarse,PASS,False,49.198,23.25,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C025,CASE_BRAKE_001,lead_brake,coarse,HIGH_RISK,False,9.111,2.489,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C026,CASE_BRAKE_001,lead_brake,coarse,PASS,False,36.201,7.022,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C027,CASE_BRAKE_001,lead_brake,coarse,PASS,False,50.0,72.577,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C028,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.293,0.081,{'trajectory_frames': 9.0}
CASE_BRAKE_001_C029,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-1.108,0.006,{'trajectory_frames': 14.0}
CASE_BRAKE_001_C030,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.157,0.081,{'trajectory_frames': 22.0}
CASE_BRAKE_001_C031,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.225,0.085,{'trajectory_frames': 9.0}
CASE_BRAKE_001_C032,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.628,0.042,{'trajectory_frames': 14.0}
CASE_BRAKE_001_C033,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.472,0.013,{'trajectory_frames': 26.0}
CASE_BRAKE_001_C034,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.158,0.089,{'trajectory_frames': 9.0}
CASE_BRAKE_001_C035,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.148,0.086,{'trajectory_frames': 14.0}
CASE_BRAKE_001_C036,CASE_BRAKE_001,lead_brake,coarse,FAIL,False,1.389,1.053,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C037,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-1.49,0.023,{'trajectory_frames': 22.0}
CASE_BRAKE_001_C038,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.979,0.031,{'trajectory_frames': 30.0}
CASE_BRAKE_001_C039,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.191,0.08,{'trajectory_frames': 47.0}
CASE_BRAKE_001_C040,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-1.255,0.025,{'trajectory_frames': 23.0}
CASE_BRAKE_001_C041,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.797,0.022,{'trajectory_frames': 34.0}
CASE_BRAKE_001_C042,CASE_BRAKE_001,lead_brake,coarse,HIGH_RISK,False,8.866,3.744,{'trajectory_frames': 81.0}
CASE_BRAKE_001_C043,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.5,0.064,{'trajectory_frames': 24.0}
CASE_BRAKE_001_C044,CASE_BRAKE_001,lead_brake,coarse,FAIL,True,-0.25,0.018,{'trajectory_frames': 46.0}
